wl_home,season,days_between_games_home,avg_min_home,avg_fgm_home,avg_fga_home,avg_3pm_home,avg_3pa_home,avg_ftm_home,avg_fta_home,avg_oreb_home,avg_dreb_home,avg_treb_home,avg_ast_home,avg_stl_home,avg_blk_home,avg_tov_home,avg_pf_home,avg_pts_home,avg_plus_minus_home,avg_3pm_diff_home,avg_ftm_diff_home,avg_reb_diff_home,avg_win_home,avg_fg_pct_home,avg_3p_pct_home,avg_ft_pct_home,avg_true_pct_home,days_between_games_away,avg_min_away,avg_fgm_away,avg_fga_away,avg_3pm_away,avg_3pa_away,avg_ftm_away,avg_fta_away,avg_oreb_away,avg_dreb_away,avg_treb_away,avg_ast_away,avg_stl_away,avg_blk_away,avg_tov_away,avg_pf_away,avg_pts_away,avg_plus_minus_away,avg_3pm_diff_away,avg_ftm_diff_away,avg_reb_diff_away,avg_win_away,avg_fg_pct_away,avg_3p_pct_away,avg_ft_pct_away,avg_true_pct_away
0,2019,3,240.0,40.5,84.0,16.0,36.5,26.0,33.5,7.5,33.5,41.0,22.5,9.5,4.0,17.0,19.0,123.0,2.5,7.5,12.0,1.0,0.5,0.48214285714285715,0.4383561643835616,0.7761194029850746,0.6228478833299574,3,240.0,34.5,82.5,11.5,27.5,26.5,35.5,7.0,27.5,34.5,24.0,10.0,3.5,13.5,23.5,107.0,-7.0,-0.5,12.5,-14.0,0.5,0.41818181818181815,0.41818181818181815,0.7464788732394366,0.5452507134121484
1,2019,2,240.0,42.333333333333336,87.33333333333333,10.0,23.666666666666668,30.333333333333332,34.0,9.666666666666666,30.0,39.666666666666664,23.666666666666668,9.333333333333334,4.0,14.0,26.0,125.0,0.0,-2.0,6.666666666666667,-6.0,0.3333333333333333,0.4847328244274809,0.4225352112676056,0.8921568627450981,0.6109880083420229,2,240.0,45.333333333333336,87.33333333333333,10.666666666666666,22.666666666666668,13.333333333333334,20.666666666666668,10.666666666666666,35.333333333333336,46.0,21.333333333333332,7.0,5.0,16.0,22.333333333333332,114.66666666666667,10.333333333333334,-3.6666666666666665,-3.3333333333333335,6.666666666666667,0.6666666666666666,0.5190839694656488,0.47058823529411764,0.6451612903225806,0.5945796460176992
1,2019,2,240.0,37.0,86.0,7.666666666666667,28.0,27.0,37.666666666666664,12.0,40.333333333333336,52.333333333333336,23.0,9.666666666666666,6.333333333333333,13.0,25.0,108.66666666666667,13.0,-1.0,6.666666666666667,10.0,1.0,0.43023255813953487,0.27380952380952384,0.7168141592920354,0.5297023267905888,2,240.0,49.666666666666664,94.0,9.0,22.0,17.333333333333332,24.0,8.666666666666666,32.0,40.666666666666664,23.0,8.333333333333334,4.0,14.0,26.333333333333332,125.66666666666667,-5.0,-3.6666666666666665,-5.333333333333333,-8.333333333333334,0.3333333333333333,0.5283687943262412,0.4090909090909091,0.7222222222222222,0.6009308849783218
1,2019,4,240.0,54.0,96.5,13.0,28.0,19.0,27.5,13.0,40.0,53.0,35.5,7.0,3.5,14.0,25.0,140.0,19.5,0.0,0.5,15.0,1.0,0.5595854922279793,0.4642857142857143,0.6909090909090909,0.6445672191528545,2,240.0,37.333333333333336,86.0,8.0,26.333333333333332,24.333333333333332,28.666666666666668,10.333333333333334,37.666666666666664,48.0,21.333333333333332,4.666666666666667,6.333333333333333,14.0,24.0,107.0,3.3333333333333335,-2.0,4.0,0.3333333333333333,0.6666666666666666,0.43410852713178294,0.3037974683544304,0.8488372093023255,0.5425229853975121
1,2019,3,240.0,40.0,96.5,12.0,32.0,18.5,22.5,16.0,31.5,47.5,21.0,4.5,4.5,13.5,21.5,110.5,2.5,6.0,0.5,7.5,1.0,0.41450777202072536,0.375,0.8222222222222222,0.519266917293233,3,240.0,41.0,91.33333333333333,11.333333333333334,31.666666666666668,16.666666666666668,21.0,10.0,39.333333333333336,49.333333333333336,27.0,8.666666666666666,5.333333333333333,13.0,19.333333333333332,110.0,0.6666666666666666,-1.3333333333333333,4.666666666666667,1.6666666666666667,0.6666666666666666,0.4489051094890511,0.35789473684210527,0.7936507936507936,0.5468646427151
0,2019,2,240.0,37.333333333333336,81.33333333333333,13.0,35.666666666666664,17.333333333333332,23.0,9.333333333333334,33.666666666666664,43.0,26.333333333333332,6.333333333333333,2.3333333333333335,17.333333333333332,23.0,105.0,-9.0,2.0,-1.6666666666666667,-1.0,0.3333333333333333,0.45901639344262296,0.3644859813084112,0.7536231884057971,0.5740632745298148,2,248.33333333333334,49.333333333333336,100.0,9.666666666666666,33.666666666666664,17.0,24.333333333333332,10.0,37.333333333333336,47.333333333333336,28.0,7.666666666666667,7.333333333333333,13.666666666666666,25.333333333333332,125.33333333333333,-6.333333333333333,-5.0,-8.0,-4.333333333333333,0.0,0.49333333333333335,0.2871287128712871,0.6986301369863014,0.5660604600746718
1,2019,1,240.0,48.5,92.0,10.0,24.25,15.25,23.0,8.75,31.5,40.25,24.5,8.0,4.5,14.5,24.0,122.25,-7.25,-2.25,-5.0,-8.75,0.25,0.5271739130434783,0.41237113402061853,0.6630434782608695,0.5985605170387779,2,240.0,33.333333333333336,83.0,10.666666666666666,27.666666666666668,24.666666666666668,32.333333333333336,7.0,30.333333333333332,37.333333333333336,22.0,10.0,3.0,12.666666666666666,23.0,102.0,-2.0,0.0,9.333333333333334,-11.666666666666666,0.6666666666666666,0.40160642570281124,0.3855421686746988,0.7628865979381443,0.5245474492594624
1,2019,2,240.0,44.25,89.75,13.0,34.0,16.75,22.25,9.75,37.75,47.5,25.5,6.0,5.75,13.75,24.5,118.25,12.25,2.25,-2.5,3.5,1.0,0.49303621169916434,0.38235294117647056,0.7528089887640449,0.5939823186658629,2,240.0,40.75,86.75,9.25,26.0,28.25,31.5,9.25,32.25,41.5,23.75,9.25,6.0,14.25,23.75,119.0,2.5,-1.75,7.75,-4.0,0.5,0.4697406340057637,0.3557692307692308,0.8968253968253969,0.5913925057151377
1,2019,2,240.0,43.0,89.33333333333333,10.333333333333334,25.666666666666668,14.666666666666666,19.666666666666668,5.666666666666667,32.333333333333336,38.0,24.0,4.666666666666667,4.333333333333333,14.0,24.0,111.0,-9.0,-4.666666666666667,-7.0,-10.333333333333334,0.0,0.48134328358208955,0.4025974025974026,0.7457627118644068,0.5664035923254865,2,240.0,41.5,93.5,14.5,36.5,15.25,20.75,11.75,32.5,44.25,24.25,6.25,7.5,12.75,19.25,112.75,2.75,3.0,1.25,-4.75,0.5,0.44385026737967914,0.3972602739726027,0.7349397590361446,0.5493033226152197
1,2019,2,240.0,43.666666666666664,91.33333333333333,16.0,40.0,15.0,21.666666666666668,13.666666666666666,40.333333333333336,54.0,26.666666666666668,6.333333333333333,7.0,17.666666666666668,23.0,118.33333333333333,9.666666666666666,5.333333333333333,-0.3333333333333333,12.333333333333334,1.0,0.4781021897810219,0.4,0.6923076923076923,0.5865829477858558,1,246.25,43.0,93.0,12.0,34.5,17.5,22.75,9.5,39.5,49.0,28.25,7.25,6.0,12.5,20.5,115.5,0.25,-0.5,3.75,1.75,0.5,0.46236559139784944,0.34782608695652173,0.7692307692307693,0.560625182021163
